adc_data,encrypted_data
     5,  8082
    10, 17971
    15,-25593
    20,-18977
    25,-30985
    30, -9213
    35, 16668
    40,-28450
    45,-13878
    50, 25195
    55, -9549
    60, 17430
    65,-26827
    70,-16811
    75, 30612
    80, -2096
    85,  3886
    90,  8761
    95, 19519
   100,-22061
   105,-25466
   110,-19337
   115,-30329
   120,-10540
   125, 19289
   130,-22917
   135,-24230
   140,-21589
   145,-25891
   150,-18309
   155,-32351
   160, -6433
   165, 12016
   170, 26193
   175, -7045
   180, 12758
   185, 27917
   190, -3207
   195,  5877
   200, 12692
   205, 28031
   210, -3299
   215,  5873
   220, 12776
   225, 28094
   230, -3095
   235,  5996
   240, 13489
   245, 29913
   250,  -305
   255,   946
   260,  1621
   265,  4422
   270,  9525
   275, 20890
   280,-19484
   285,-29416
   290,-11267
   295, 21291
   300,-18568
   305,-31552
   310, -9003
   315, 16187
   320,-30582
   325,-10328
   330, 19438
   335,-23403
   340,-23879
   345,-22982
   350,-24505
   355,-21018
   360,-26965
   365,-17183
   370, 31141
   375, -2877
   380,  5062
   385, 10256
   390, 24041
   395,-13084
   400, 23156
   405,-12884
   410, 24502
   415,-12067
   420, 21845
   425,-17050
   430, 31618
   435, -3351
   440,  5955
   445, 12972
   450, 28863
   455,  -524
   460,  1827
   465,  3765
   470,  9197
   475, 19909
   480,-22329
   485,-25596
   490,-19572
   495,-29456
   500,-11987
   505, 21568
   510,-16512
   515, 29977
   520, -1306
   525,  3792
   530,  7823
   535, 15757
   540,-28859
   545,-11685
   550, 21582
   555,-15839
   560, 30334
   565,   -61
   570,   395
   575,  2569
   580,  4218
   585, 10946
   590, 22612
   595,-13718
   600, 26416
   605, -7412
   610, 13743
   615, 32364
   620, -4733
   625,  8006
   630, 17051
   635,-28110
   640,-13923
   645, 25258
   650,-10448
   655, 20054
   660,-22437
   665,-26498
   670,-19118
   675,-32273
   680, -8162
   685, 14228
   690, 29942
   695, -1838
   700,  2177
   705,  5125
   710, 12378
   715, 29366
   720, -1239
   725,  2087
   730,  6798
   735, 13511
   740, 31445
   745, -3065
   750,  4754
   755,  9808
   760, 21395
   765,-18917
   770,-29819
   775, -9671
   780, 17784
   785,-24703
   790,-18467
   795,-29785
   800, -9232
   805, 17430
   810,-25324
   815,-19816
   820,-29332
   825,-12909
   830, 23170
   835,-15315
   840, 26009
   845, -6340
   850, 12614
   855, 27666
   860, -3050
   865,  3259
   870,  8275
   875, 19794
   880,-20818
   885,-27100
   890,-15744
   895, 29629
   900, -1762
   905,  2645
   910,  5730
   915, 13089
   920, 28587
   925, -3092
   930,  8163
   935, 15720
   940,-30662
   945,-12264
   950, 21291
   955,-20330
   960,-30615
   965,-12215
   970, 21269
   975,-20359
   980,-30361
   985,-10601
   990, 20036
   995,-20587
  1000,-27645
  1005,-16683
  1010, 31386
  1015, -2240
  1020,  6015
  1025, 10644
  1030, 24907
  1035, -6882
  1040, 15402
  1045, 30944
  1050, -5543
  1055,  9256
  1060, 17335
  1065,-25819
  1070,-19358
  1075,-27426
  1080,-12864
  1085, 26115
  1090, -8678
  1095, 16444
  1100,-25491
  1105,-18289
  1110, 32347
  1115, -2085
  1120,  4829
  1125, 14063
  1130, 29732
  1135,  -524
  1140,  4071
  1145,  7623
  1150, 15680
  1155, 31667
  1160, -4426
  1165,  8965
  1170, 21313
  1175,-14415
  1180, 27195
  1185, -3761
  1190,  5862
  1195, 11298
  1200, 24237
  1205,-13063
  1210, 25074
  1215, -6751
  1220, 15590
  1225, 30839
  1230, -5534
  1235,  7006
  1240, 17088
  1245,-24805
  1250,-19750
  1255,-32061
  1260, -9885
  1265, 14948
  1270,-28698
  1275,-12187
  1280, 19414
  1285,-21957
  1290,-26664
  1295,-15475
  1300, 28050
  1305, -4777
  1310, 11782
  1315, 23272
  1320,-11833
  1325, 19303
  1330,-22334
  1335,-28672
  1340,-14575
  1345, 29987
  1350,  -773
  1355,  3619
  1360,  7181
  1365, 15626
  1370, 30750
  1375, -5914
  1380,  9306
  1385, 19595
  1390,-24256
  1395,-23669
  1400,-23389
  1405,-20899
  1410,-24640
  1415,-17030
  1420,-31596
  1425, -7388
  1430, 10342
  1435, 25474
  1440, -6323
  1445, 12657
  1450, 28867
  1455,  -422
  1460,   746
  1465,  5594
  1470,  8669
  1475, 21778
  1480,-18858
  1485,-28882
  1490,-11978
  1495, 19386
  1500,-21605
  1505,-28304
  1510,-14672
  1515, 27561
  1520, -3846
  1525,  5654
  1530, 10703
  1535, 26561
  1540, -9129
  1545, 17015
  1550,-25029
  1555,-17747
  1560, 31829
  1565, -2807
  1570,  4438
  1575, 12803
  1580, 30201
  1585, -1812
  1590,  1083
  1595,   693
  1600,  3177
  1605,  4316
  1610, 13436
  1615, 27101
  1620, -3666
  1625,  2249
  1630,  9730
  1635, 16768
  1640,-26149
  1645,-22156
  1650,-27294
  1655,-16276
  1660, 28472
  1665, -4242
  1670, 11930
  1675, 24480
  1680,-16205
  1685, 28580
  1690, -4271
  1695, 11981
  1700, 24368
  1705,-15938
  1710, 25053
  1715, -7339
  1720, 10697
  1725, 28625
  1730, -4980
  1735,  8634
  1740, 20739
  1745,-14860
  1750, 26745
  1755, -3296
  1760,  5329
  1765, 11904
  1770, 24363
  1775,-15975
  1780, 24638
  1785, -7526
  1790, 13513
  1795, 26774
  1800, -3842
  1805,  2457
  1810, 10104
  1815, 20249
  1820,-22784
  1825,-22145
  1830,-27831
  1835,-15176
  1840, 27362
  1845, -3276
  1850,  4858
  1855, 14181
  1860, 27711
  1865, -5738
  1870,  6241
  1875, 16923
  1880,-24916
  1885,-16674
  1890,-30898
  1895, -4339
  1900, 11653
  1905, 22566
  1910,-11098
  1915, 22306
  1920,-19199
  1925,-29849
  1930,-10555
  1935, 21354
  1940,-17611
  1945, 32224
  1950, -2726
  1955,  8109
  1960, 13014
  1965, 28993
  1970,  -378
  1975,  3043
  1980,  7381
  1985, 15140
  1990,-32621
  1995, -9044
  2000, 17747
  2005,-27626
  2010,-15586
  2015, 27746
  2020, -6001
  2025,  6606
  2030, 17637
  2035,-27901
  2040,-15015
  2045, 26723
  2050, -4091
  2055,  1655
  2060, 10269
  2065, 20313
  2070,-27021
  2075,-18069
  2080,-30979
  2085,-14949
  2090, 21363
  2095,-15661
  2100, 26718
  2105, -8580
  2110, 17386
  2115,-24371
  2120,-26950
  2125,-18380
  2130,-26419
  2135,-15660
  2140, 26979
  2145,-12165
  2150, 16612
  2155,-22193
  2160,-23539
  2165,-24658
  2170,-19163
  2175, 29023
  2180,  -580
  2185,  6931
  2190,  8983
  2195, 26740
  2200, -8252
  2205, 16762
  2210,-21348
  2215,-20875
  2220,-21873
  2225,-24047
  2230,-27774
  2235,-16393
  2240,-29471
  2245, -5643
  2250, 12492
  2255, 29775
  2260, -6198
  2265,  5733
  2270, 19604
  2275,-24798
  2280,-19103
  2285, 28722
  2290,  -679
  2295,  6709
  2300,  8534
  2305, 21916
  2310,-15156
  2315, 21056
  2320,-15375
  2325, 27017
  2330, -8273
  2335, 16902
  2340,-20542
  2345,-22308
  2350,-23600
  2355,-27721
  2360,-20039
  2365,-30526
  2370, -5028
  2375, 14755
  2380, 26083
  2385, -1830
  2390,  4888
  2395, 13093
  2400,-30568
  2405, -5053
  2410, 14779
  2415, 25875
  2420, -1943
  2425,  4730
  2430, 13680
  2435,-29444
  2440,-10441
  2445, 13809
  2450,-28675
  2455,-11109
  2460, 13842
  2465,-31586
  2470, -9980
  2475, 24500
  2480,-18726
  2485, 31957
  2490, -2626
  2495,  3725
  2500,  1588
  2505, 10914
  2510, 18296
  2515,-22727
  2520,-25923
  2525,-13137
  2530, 25494
  2535, -6794
  2540, 10928
  2545, 18278
  2550,-22694
  2555,-26072
  2560,-12640
  2565, 25081
  2570, -6662
  2575,  5951
  2580, 19136
  2585,-26108
  2590,-16003
  2595, 21899
  2600, -8523
  2605, 17608
  2610,-23198
  2615,-26494
  2620,-13175
  2625, 25195
  2630, -4812
  2635,  9954
  2640, 26984
  2645,-10720
  2650, 19144
  2655,-31441
  2660,-14653
  2665, 22333
  2670,-15089
  2675, 21022
  2680,-12556
  2685, 26219
  2690, -1345
  2695,  5679
  2700, 13619
  2705,-30916
  2710,-15034
  2715, 23813
  2720,-14306
  2725, 26056
  2730,  -719
  2735,  1511
  2740, 11087
  2745, 16699
  2750,-21127
  2755,-21856
  2760,-22764
  2765,-24673
  2770,-13532
  2775, 31253
  2780, -4029
  2785,   809
  2790,  8031
  2795, 15022
  2800, 25015
  2805, -7021
  2810,  5389
  2815, 19962
  2820,-26922
  2825,-18048
  2830,-30757
  2835, -9607
  2840, 24485
  2845,-18603
  2850, 28735
  2855, -1350
  2860,  4355
  2865, 12570
  2870,-30088
  2875, -4753
  2880,  9701
  2885, 27882
  2890, -4823
  2895,  9691
  2900, 27861
  2905, -4781
  2910,  9320
  2915, 25482
  2920, -7614
  2925,  8938
  2930, 22330
  2935,-14748
  2940, 22498
  2945,-14756
  2950, 20647
  2955,-16118
  2960, 27354
  2965,-11355
  2970, 17402
  2975,-21685
  2980,-22867
  2985,-25231
  2990,-19305
  2995, 32377
  3000, -3852
  3005,   826
  3010,  6452
  3015,  8679
  3020, 22104
  3025,-15322
  3030, 23690
  3035,-13828
  3040, 31640
  3045, -3560
  3050,   265
  3055,  5075
  3060, 15904
  3065, 31830
  3070,  -978
  3075,   745
  3080, 11560
  3085, 17818
  3090,-20586
  3095,-23500
  3100,-27735
  3105,-23754
  3110,-24769
  3115,-13790
  3120, 25942
  3125, -6650
  3130, 11166
  3135, 21540
  3140,-12410
  3145, 25027
  3150,  -212
  3155,  6820
  3160, 16219
  3165, 32005
  3170, -2167
  3175,  2825
  3180,  7394
  3185, 10422
  3190, 24003
  3195,-17945
  3200,-29746
  3205,-10246
  3210, 20179
  3215,-24587
  3220,-13887
  3225, 26169
  3230, -8088
  3235, 11836
  3240, 16465
  3245,-22620
  3250,-26933
  3255,-19415
  3260,-29313
  3265, -5810
  3270, 15569
  3275, 26134
  3280, -7776
  3285, 11631
  3290, 17955
  3295,-21943
  3300,-20877
  3305,-23234
  3310,-28599
  3315,-18349
  3320,-31238
  3325,-11096
  3330, 17683
  3335,-21202
  3340,-23756
  3345,-26187
  3350,-12767
  3355, 25493
  3360, -1917
  3365,  8188
  3370,  9415
  3375, 20485
  3380,-15818
  3385, 21550
  3390,-14136
  3395, 25794
  3400, -6337
  3405, 10858
  3410, 23129
  3415,-13260
  3420, 31885
  3425, -3697
  3430,  2291
  3435,   268
  3440,  5887
  3445, 12355
  3450,-31367
  3455,-10414
  3460, 18757
  3465,-27320
  3470,-18883
  3475, 29108
  3480, -7643
  3485,  4103
  3490, 19559
  3495,-24703
  3500,-13799
  3505, 27630
  3510, -4405
  3515, 15972
  3520, 32385
  3525, -3550
  3530,  3552
  3535,  3473
  3540,  3334
  3545,  3074
  3550,  2555
  3555,  1239
  3560,  6556
  3565,  8342
  3570, 26863
  3575, -4789
  3580, 13612
  3585, 28747
  3590, -6698
  3595, 10933
  3600, 24506
  3605,-17560
  3610,-30359
  3615,-10945
  3620, 19747
  3625,-25891
  3630,-13172
  3635, 24992
  3640, -1597
  3645,   171
  3650, 11810
  3655, 18873
  3660,-28225
  3665,-24332
  3670,-25153
  3675,-13612
  3680, 25214
  3685,  -480
  3690,  4848
  3695, 12798
  3700,-31944
  3705, -8463
  3710, 22577
  3715,-20145
  3720, 31291
  3725, -3123
  3730,  2662
  3735,  1425
  3740,  5663
  3745, 14553
  3750, 30629
  3755, -1087
  3760,  7556
  3765,  9237
  3770, 20493
  3775, -9014
  3780, 23558
  3785,-18138
  3790,-29246
  3795, -4623
  3800, 15012
  3805, 31348
  3810, -3145
  3815,  2617
  3820,  1086
  3825,  5885
  3830, 15239
  3835, 30768
  3840, -2438
